하천명,시점위치(위도),시점위치(경도),종점위치(위도),종점위치(경도)
검은정천,37.1644151,127.7144238,37.1628293,127.7194676
계척천,37.0846645,127.940487,37.0764257,127.9426858
고든골천,36.9491756,127.9703858,36.9370371,127.9800055
고진이천,37.1215044,127.8862329,37.1122028,127.8800304
골대방천,37.0292531,127.7739807,37.0402287,127.7794572
골양천,37.0809753,127.9792474,37.0805588,127.972726
공이천,36.8677867,128.0338772,36.9062568,128.0624139
관동천,36.8523975,128.0036506,36.8486232,127.9893902
관주천,36.9458694,127.936322,36.953739,127.9182782
광대울천,37.034652,127.7355065,37.0452778,127.7462365
광동천,37.0997933,127.9885441,37.0912333,127.9628119
광벌천,36.9860914,127.6631453,36.9895347,127.6677789
구라우천,37.0343372,127.8147495,37.0372473,127.8178489
구른천,36.8912793,127.9654451,36.8857372,127.9525031
구정골천,37.0446519,127.8171732,37.0375603,127.8203997
궁골천,36.9213287,127.8608574,36.9152459,127.8592002
궁들천,37.0999285,127.7626145,37.1038994,127.7613173
궁평천,37.0857233,127.7497045,37.1060538,127.7636656
귀댕이천,36.8924583,127.957266,36.8870015,127.951114
귀래골천,37.0586496,127.9255604,37.0723235,127.9243529
귀양골천,36.9130954,127.9671764,36.9036484,127.9654298
금곡천,36.948259,127.8139701,36.99561,127.8472331
금곡천,36.9878993,127.9446672,36.9906471,127.9388247
금잠천,37.0318253,128.0738127,37.0201435,128.064203
기골천,36.8343841,128.0253988,36.8386922,128.0227584
깊은골천,36.9958406,127.6928085,37.0009565,127.6963515
까치골천,37.0078179,127.8360745,37.0093339,127.8418951
남악천,37.0105127,127.6701109,37.005054,127.6723538
내계천,37.0804108,127.8921606,37.0768914,127.8980027
내오량천,37.1353132,127.8455165,37.124069,127.846431
내용천,36.9844946,127.7249098,37.0020917,127.7557115
내창천,37.0988119,127.9255676,37.0941627,127.9292778
넙적골천,37.1711698,127.7255093,37.1870603,127.7427833
논강천,37.1178504,127.9076458,37.0714654,127.8929903
논동천,37.0862543,127.8096711,37.0883558,127.7945361
늘아티골천,36.9905389,127.9571541,36.990873,127.9473042
능골천,36.9574061,127.8277126,36.9678681,127.8273137
능암천,37.0790747,127.7968591,37.0906923,127.8007101
다랑골천,37.0991045,127.7639098,37.1019439,127.771372
다래실천,37.13912,127.9082539,37.1364132,127.9106883
다리골천,37.026918,127.999119,37.0307465,127.9946476
단월천,36.9540994,127.9128993,36.9603233,127.8934522
단지천,37.1231687,127.8532989,37.1229832,127.8472494
달마실천,37.0706796,127.8692364,37.0737084,127.8759063
달신천,36.9634588,127.9183896,36.9802385,127.9021402
담안천,36.9908918,127.6991844,37.0037588,127.7012015
대가주천,36.9304688,127.8902056,36.9387851,127.8907047
대곡천,36.9525579,127.7591691,36.9595466,127.7662293
대곡천,37.054677,127.7953901,37.0545334,127.8020842
대모천천,37.0501261,127.9855146,37.0301786,127.9730963
대미천,37.0465872,127.9342088,37.0406178,127.9273053
대소강천,37.1014737,127.9825444,37.0958566,127.965002
대촌천,37.0978823,127.7077134,37.1019617,127.7135916
대촌천,37.0774394,127.8150453,37.0825318,127.8182665
대향산천,36.9294078,127.9569754,36.9224961,127.9404955
덕독천,37.0579568,127.9707733,37.0721305,127.9559114
덕련천,37.0151141,127.7614349,36.9983,127.7690481
덤바위골천,36.9229998,127.8500296,36.918422,127.851033
도덕천,37.077256,128.0225789,37.0708954,128.0199138
도선동천,36.9354342,127.9880405,36.9345679,127.9971681
도원천,37.0165118,127.6622449,37.0033919,127.6786629
도장골천,36.9951142,127.6906701,37.0003676,127.6925164
도장골천,36.9740029,127.9631525,36.9791391,127.9473756
도장천,36.9439406,127.9284208,36.9495588,127.9417934
독정천,36.9554866,127.8682524,36.9564879,127.8686338
돈담천,37.0924464,127.7818183,37.0972078,127.791297
동락천,36.9574239,127.9403124,36.9939693,127.6792152
동막골천,37.0675946,127.7269698,37.0581485,127.7221147
동막천,37.0654267,127.8034439,37.0602079,127.8129136
동막천,37.1501668,127.7071825,37.1509937,127.7187381
동막천,37.1159548,127.8958581,37.0996414,127.8809895
동막천,36.9244349,127.8995981,36.9179132,127.9165028
동산골천,36.9842101,127.8761564,36.987841,127.8753208
동암천,37.0827725,127.7846256,37.0968782,127.7929014
동진이천,36.850805,128.0093606,36.845593,127.9953866
두담천,36.9396008,127.838715,36.939716,127.851422
두련천,36.993751,127.8562539,37.0109768,127.8668689
둔대천,37.0813744,127.9816363,37.0736914,127.9662257
뒷골천,36.9803544,127.779804,36.9732494,127.780061
마당터천,36.9902693,127.8666852,36.994891,127.8684994
마수천,36.9784963,127.7473835,36.9936779,127.7508456
마실천,37.0406655,128.0052185,37.0321089,128.01233
마장천,37.0933589,127.7708572,37.100202,127.7754506
마치천,36.9872192,127.9282976,36.9872192,127.9282976
막흐르기천,37.0871296,127.8606275,37.0846928,127.8680099
만적천,36.9521372,127.8516828,36.9663038,127.8585171
매남천,37.0243666,127.7976527,36.9929688,127.8024604
매산천,36.9034694,127.864504,36.9098395,127.873877
매차골천,37.0404787,127.9858317,37.0401211,127.9786593
명지동천,37.1218088,127.9142567,37.1244117,127.9192298
모점천,37.1455218,127.7169094,37.1689378,127.7556342
목골천,37.0418636,127.8499667,37.0367166,127.8236447
목동천,36.946677,127.7915009,36.2633951,127.5823789
목미천,37.1385579,127.7362959,37.1617131,127.7482534
묘곡천,37.0483464,127.8465094,37.0312786,127.8434395
무지지천,37.0590473,127.7993422,37.0575827,127.8045733
문곡천,37.0217765,127.9045906,37.0138085,127.9092223
문산천,36.8989992,127.9502188,36.8883579,127.9474577
문성천,37.0556809,127.742061,37.0463132,127.7433339
물멕이천,36.9138769,127.9636903,36.9051189,127.9596372
물탕골천,36.8943695,128.0072708,36.9018124,128.0039992
미락골천,37.1481421,127.9576381,37.1449057,127.9525436
미락천,36.9498585,127.7908152,36.9574166,127.7854945
미륵천,37.0044314,127.9398697,37.0060746,127.9148484
민봉천,37.0359483,127.9974312,37.0312106,127.993278
발화천,36.8177912,128.0074493,36.8233759,128.0060654
방대천,37.0626298,128.0813849,37.0624281,128.0532637
배일천,37.0523543,127.9424373,37.0513846,127.9316614
버들골천,37.0159414,127.7570802,37.0073035,127.7653147
벌미천,36.9319681,127.8409764,36.9872192,127.9282976
벌천천,37.107816,127.7953557,37.1098286,127.8098169
법동천,37.0401893,127.6880432,37.0493624,127.713893
법의천,36.972423,127.9763687,36.9717639,127.9597249
법현천,37.016837,127.8397678,37.0227569,127.8389272
보령천,37.0546898,127.7676686,37.043841,127.7935459
보사골천,36.8981716,128.0246752,36.9066915,128.0155432
복계천,36.8476452,128.0221819,36.8395211,128.0161841
복탄천,37.1085872,127.8360456,37.0977206,127.826437
본리천,36.9958078,127.8475436,36.9750269,127.8305686
본복천,37.1212025,127.735531,37.1112468,127.7401935
본평천,37.0962697,127.7306562,37.1102735,127.7488562
부연천,36.9487991,127.8334662,36.9672891,127.8425766
분터골천,37.0430271,127.9430254,37.0369107,127.9407761
사락천,37.0134255,127.7916093,36.994197,127.7975591
사랑골천,37.0493092,127.9120339,37.0451052,127.9042478
사래실천,37.0089086,127.9683456,37.0179839,127.9637105
사리골천,37.10755,127.781543,37.102672,127.7798481
사시골천,37.1060925,128.0268861,37.1073471,128.0311129
사이박천,37.1392543,127.883703,37.1371648,127.8813931
산막천,37.1281783,127.7846192,37.1340786,127.7919364
산배실천,36.9733134,127.8692553,36.9677255,127.85725
산정천,36.9520428,127.873964,36.9444826,127.874591
살구골천,36.9135542,127.9944334,36.90894,127.9830256
삼당천,37.1225648,127.7280058,37.1086091,127.7290777
삼방천,36.9422401,127.7730438,36.9726258,127.808093
삼밭골천,37.0807816,128.0114465,37.0771386,128.0132233
상가홍천,37.0743759,127.8666879,37.0785424,127.8620151
상검단천,36.9781503,127.8711753,36.9684852,127.8656403
상구천,37.0343816,127.8130786,37.0376799,127.8195488
상금곡천,36.9565819,127.8127726,36.9574067,127.8189961
상대촌천,37.0875086,127.718488,37.1023531,127.7087815
상산천,37.1141846,127.9724871,37.1065841,127.9640283
상영천,37.0689191,127.9494772,37.0749204,127.9451485
상율천,37.1339608,127.7282573,37.1335188,127.7342468
상제천,37.0538843,127.7516876,37.0456925,127.7534344
상촌천,37.134513,127.8281177,37.1140676,127.818951
새말천,36.9785988,127.7283849,36.9861107,127.7446701
새매개천,37.0896019,127.9833879,37.0914538,127.9788517
새터골천,36.9649309,127.796191,36.9699432,127.7912592
새터천,36.9943708,127.6568837,36.9977339,127.6648364
새한천,37.0143031,127.9284082,37.0040298,127.9332536
서대천,37.0848873,128.0148473,37.0634019,128.0189125
석교천,37.0119268,127.8906258,37.0098188,127.8789533
석문천,37.1027518,128.0266416,37.1117585,128.0355628
선당천,36.987973,127.7088781,36.9948116,127.720033
