한글보통명,위도,경도
너구리,36.9785098,126.4287791
고라니,36.9625998,126.4101691
고라니,37.81805878,126.7800156
고라니,36.9611398,126.3929391
고라니,37.81814794,126.7800881
고라니,37.79878128,126.7296717
고라니,36.93776981,126.4466391
고라니,37.79720239,126.7308208
고라니,37.79884405,126.7295881
고라니,37.798841,126.7304936
너구리,37.74347183,126.5699611
고라니,37.79848017,126.7316395
고라니,37.74411072,126.5727111
고라니,36.96000981,126.4805091
고라니,36.94342981,126.4585691
고라니,36.9731798,126.4588891
고라니,36.93823982,126.4846591
너구리,37.7424996,126.5345722
두더지,36.93002982,126.4606791
다람쥐,36.96843981,126.4625991
고라니,37.79888294,126.728025
고라니,36.96110981,126.4627291
두더지,37.74227738,126.5329889
고라니,37.79870683,126.7291925
고라니,37.79920489,126.7308753
고라니,37.7988985,126.7303808
고라니,37.74266628,126.5706278
고라니,36.95008981,126.4760691
고라니,36.93844981,126.4718791
두더지,37.79958211,126.7283645
고라니,36.9813698,126.4434891
고라니,37.79879405,126.7303747
두더지,37.79831794,126.7274395
고라니,37.79726405,126.7298514
두더지,37.79884322,126.7296372
청설모,37.74269405,126.5706278
고라니,37.79881322,126.7296542
고라니,37.74302738,126.5359889
두더지,37.79905933,126.7307145
고라니,37.7992585,126.730977
고라니,36.93646982,126.4792791
족제비,37.74083293,126.5312111
족제비,37.7436385,126.5707111
청설모,37.79902267,126.7280753
고라니,36.95179981,126.4683491
고라니,36.96843981,126.4625991
고라니,36.95722981,126.4670191
고양이,37.74555517,126.5737111
고라니,36.96840981,126.4620491
고라니,37.7988385,126.7304003
고라니,37.79920044,126.7308478
두더지,37.79875267,126.7299564
고라니,37.79827433,126.7313056
고라니,36.95978981,126.4656991
고라니,36.9897198,126.4477991
고라니,36.94535981,126.4702691
청설모,37.74302738,126.5359889
고라니,36.93354982,126.4830891
고라니,36.94174981,126.4641391
고라니,36.93589982,126.4798491
고라니,36.93790982,126.4798991
너구리,36.95035981,126.4789191
고라니,37.79880378,126.7303661
고라니,36.92932982,126.4592791
고라니,37.79852961,126.7289942
너구리,36.94378981,126.4595791
고라니,37.79932461,126.7290467
고라니,36.94610592,126.4599541
두더지,37.79852378,126.7288381
고라니,36.94251981,126.4392891
너구리,37.74191628,126.5831278
두더지,37.79885294,126.730397
고라니,37.74399961,126.5725167
고라니,36.94245981,126.4399691
고라니,37.74258294,126.5727111
고라니,36.96691981,126.4643991
고라니,36.93516981,126.4618391
고라니,36.96691981,126.4643991
고라니,36.95241481,126.4556541
고라니,37.7987485,126.7299256
고라니,37.73802738,126.5310167
고라니,37.79854822,126.7290728
고라니,37.79922239,126.7308747
멧토끼,37.73802738,126.5310167
고라니,36.94745981,126.4691791
고라니,37.79818544,126.7313139
고라니,37.74386072,126.5711278
고라니,37.74191628,126.5831278
고라니,36.95427287,126.4545402
두더지,37.797206,126.7308422
고라니,36.93782981,126.4800191
고라니,37.79909433,126.7307261
고라니,36.95327981,126.4782491
너구리,36.94284981,126.4734491
고라니,36.95013981,126.4760691
고라니,36.93214982,126.4636091
고라니,36.93864981,126.4710991
다람쥐,36.9671398,126.4317691
너구리,36.94758981,126.4797291
고라니,37.76396269,126.8320308
두더지,37.64036075,126.5930445
너구리,37.75665462,126.7638614
멧밭쥐,37.75487851,126.7638097
고라니,37.76381241,126.8361353
고라니,37.76528406,126.8367414
고라니,37.76339241,126.836475
고라니,37.76690156,126.8362828
고라니,37.7583649,126.7638331
고라니,37.76592656,126.836722
고라니,36.93205981,126.4546191
너구리,36.91927982,126.4482991
족제비,37.64227742,126.5930445
고라니,36.93033982,126.4750991
고라니,37.64238853,126.5954889
고라니,36.93102981,126.4347991
두더지,37.76240241,126.8314531
너구리,36.9786198,126.4674191
두더지,37.76696295,126.836177
고라니,36.94646981,126.4185291
고라니,36.93591981,126.3958291
고라니,36.94607981,126.4212191
두더지,37.76594435,126.8367136
고라니,37.64144408,126.5938222
고라니,36.93042982,126.4766491
고라니,37.64002742,126.59285
고라니,37.76353213,126.8364492
고라니,37.76163824,126.8358939
고라니,36.9741698,126.4609291
고라니,37.76190602,126.8358664
두더지,37.76324129,126.8314353
고라니,37.75871434,126.7631878
너구리,37.64041631,126.5937389
두더지,37.76529852,126.836747
두더지,37.76444074,126.8363992
고라니,37.75620879,126.7638511
고라니,36.92498981,126.3776491
고라니,37.75414268,126.7625156
두더지,37.76613129,126.8328286
고라니,37.76188546,126.8358925
두더지,37.76403824,126.8320803
두더지,37.76014185,126.8351795
너구리,36.9803398,126.4636591
고라니,37.64216631,126.5902111
너구리,36.92444982,126.4714291
두더지,37.76051074,126.8306314
고라니,37.76176074,126.835807
고라니,36.93894981,126.3862291
고라니,37.76075824,126.8356911
너구리,36.94092981,126.3924591
고라니,36.92263981,126.4216691
고라니,36.94203981,126.4023291
두더지,37.64127742,126.5931
고라니,36.9431998,126.3023891
고양이,37.64241631,126.5954889
고라니,37.76200602,126.8360658
고라니,36.92693981,126.4277991
너구리,37.7586549,126.7632417
고라니,36.92615981,126.4332191
고라니,37.75376101,126.7620886
고라니,36.92405981,126.4282591
고라니,37.75623518,126.7638497
고라니,36.93111981,126.4341291
고라니,37.76298546,126.8363733
고라니,36.92029982,126.4666891
너구리,36.91809982,126.4504191
고라니,36.93621981,126.3956091
고라니,37.76443213,126.8364639
다람쥐,36.91844981,126.4199191
너구리,36.9824798,126.4634991
두더지,37.76350323,126.8316192
고라니,36.9824798,126.4634991
고라니,37.76146824,126.8358772
고라니,36.94599981,126.4127991
고라니,37.76475213,126.8364606
너구리,36.9809198,126.4649691
고양이,36.92227981,126.3869191
고라니,36.9818998,126.4653291
족제비,37.64241631,126.5931278
고라니,36.9728598,126.4598691
두더지,37.76104185,126.8307261
청설모,37.64166631,126.5902945
고라니,36.92926982,126.4513291
두더지,37.76154185,126.8306856
고라니,36.92420981,126.4309991
고라니,36.91820982,126.4509391
고라니,36.93050981,126.3899491
너구리,36.89466982,126.4272691
고라니,36.88552982,126.4234191
고라니,36.91020982,126.4218491
고라니,36.91178982,126.4154091
고라니,36.92412981,126.3761991
너구리,36.90635982,126.4634091
고라니,36.88124983,126.4236491
너구리,36.88606982,126.4231191
고라니,36.92059981,126.3851991
고라니,36.89909982,126.4341591
너구리,36.90783982,126.4311591
고라니,36.91418982,126.4123291
고라니,36.88878982,126.4193291
고라니,36.91451982,126.4568491
너구리,36.90953982,126.4187791
너구리,36.90711982,126.4667791
너구리,36.89311982,126.4179591
고라니,36.90187982,126.4373191
고라니,36.91215982,126.4359291
고라니,36.90730982,126.4171591
고라니,37.62791629,126.3809334
너구리,35.445806,128.8843775
오소리,35.43936155,128.9051275
두더지,35.44350044,128.9042108
고양이,37.62786629,126.3788112
오소리,35.45336155,128.8841275
고라니,37.67236073,126.4871279
너구리,37.62769406,126.381989
고라니,35.445806,128.8843775
청설모,37.62919406,126.3832946
다람쥐,35.43352822,128.8827387
고라니,37.67224962,126.4864612
너구리,37.67244406,126.4871279
족제비,35.44675044,128.9052108
청설모,37.67558295,126.4818779
고라니,36.8011112,129.0335995
고라니,37.67516629,126.4818779
청설모,37.62799962,126.3802668
두더지,36.8011112,129.0335995
고라니,36.78527788,129.0524884
고라니,37.62799962,126.3802668
고라니,37.67358295,126.4688501
두더지,37.63097184,126.3831557
고라니,37.62769406,126.3811001
고라니,37.67397184,126.4852946
두더지,37.67397184,126.4852946
고라니,37.67258295,126.485489
고라니,36.8011112,129.0335995
두더지,36.8011112,129.0335995
멧돼지,35.44722266,128.9548775
고라니,37.63395796,126.4849029
고라니,35.44825044,128.9568775
고라니,35.42702823,128.9409886
청설모,37.63395796,126.4849029
오소리,35.44911155,128.9557386
고라니,35.42747267,128.9445164
너구리,35.43761156,128.9521275
고라니,35.44911155,128.9557386
청설모,37.63161074,126.4858501
고라니,35.44911155,128.957683
고라니,35.43761156,128.9521275
청설모,37.63213852,126.4828779
족제비,37.63335796,126.4889779
고라니,35.44922266,128.9488775
너구리,37.63274963,126.4825723
고라니,37.63152741,126.4858779
두더지,37.63357185,126.4867334
고라니,37.75397686,126.9183088
두더지,37.76080907,126.9179071
고라니,36.90183982,126.4678191
고라니,37.75890352,126.9162863
고라니,36.90629982,126.4729591
고양이,36.75443984,126.2579692
고라니,37.76080407,126.9171416
고라니,36.88087983,126.4596191
청설모,37.76074713,126.9182074
너구리,36.89744982,126.4570791
고라니,36.88607983,126.4692991
두더지,37.75417547,126.9189746
고라니,37.75547325,126.919496
너구리,36.77571984,126.2746192
너구리,36.76855984,126.2557392
고라니,36.77338984,126.2750692
두더지,37.7577638,126.9161444
고라니,36.78576984,126.2664192
고라니,36.88940983,126.4452491
고라니,36.89454982,126.4496891
고라니,36.77130984,126.2601992
고라니,36.89761983,126.4642591
고라니,37.75723992,126.921726
고라니,37.7569377,126.921241
두더지,37.75650436,126.9197788
고라니,37.75724214,126.921936
너구리,36.77176984,126.2580392
고라니,37.75646853,126.9198052
청설모,36.75923984,126.2620592
고라니,37.75873019,126.9162696
고라니,36.75922985,126.2815392
고라니,37.75389103,126.9183799
고라니,37.75381381,126.9177916
다람쥐,36.78878984,126.2611992
고라니,37.75888296,126.916301
너구리,36.87778983,126.4606491
두더지,37.75474464,126.9192282
고라니,37.75924407,126.916336
두더지,37.75389103,126.9186916
두더지,37.75723075,126.9217396
두더지,37.75877574,126.9162888
고라니,37.80037934,126.9234177
고라니,37.80140962,126.9278357
고라니,37.80005351,126.9279924
고라니,37.80062295,126.924463
고라니,37.79639741,126.9254935
고라니,37.79944129,126.9220207
고라니,37.80214434,126.9265449
고라니,36.81633983,126.2775391
두더지,37.7962899,126.9251627
두더지,37.79892184,126.9281352
너구리,36.86280982,126.2735091
고라니,37.80346156,126.9102141
고라니,37.80122101,126.9252796
고라니,37.79647741,126.9266349
고라니,37.79643935,126.9255207
고라니,37.79802101,126.9287071
고라니,37.80183212,126.9277285
두더지,37.80167851,126.9277869
고라니,37.80280018,126.909463
고라니,37.7965538,126.928296
고라니,37.79756185,126.9290155
고라니,36.75925985,126.2815092
고라니,37.7993224,126.9276921
너구리,36.85828982,126.2623491
고라니,37.80222101,126.9265232
고라니,37.80011629,126.9227282
고라니,36.76681984,126.3002791
고라니,36.91453982,126.4568391
고라니,36.81101983,126.2660992
고라니,37.80361129,126.9086141
고라니,36.80784983,126.2627192
고라니,37.79643935,126.9265471
고라니,36.82991982,126.2541292
고라니,36.76794984,126.2924392
너구리,36.85431982,126.2677991
두더지,37.79645546,126.9247635
고라니,36.85364982,126.2398392
너구리,36.82896983,126.2733591
고라니,36.85803981,126.2358992
고라니,37.80356101,126.9107652
고라니,36.86455982,126.2837591
너구리,36.76681985,126.3005391
고라니,36.82902982,126.2548292
고라니,37.79627824,126.925378
너구리,36.87283981,126.2742491
고라니,37.79650879,126.9259435
고라니,36.85024982,126.2456192
고라니,37.7971063,126.9289738
고라니,36.82804982,126.2566092
너구리,36.85468982,126.2665091
너구리,36.81961983,126.2781291
고라니,36.89454983,126.4596891
너구리,36.82010983,126.2597592
고라니,37.80065823,126.9283746
두더지,37.79693768,126.9290316
고라니,36.85462982,126.2666691
두더지,37.80283712,126.9090585
너구리,36.90587982,126.4727291
너구리,36.83314983,126.3092891
두더지,37.79637491,126.9254769
고라니,37.80047129,126.9243216
고라니,36.78380984,126.2624792
두더지,37.79907629,126.9217746
고라니,37.80128295,126.9257646
고라니,37.80131462,126.9259777
너구리,36.87861981,126.2583991
고라니,36.88087983,126.4596191
고라니,37.79654491,126.926781
고라니,36.85377982,126.2397492
고라니,36.87576981,126.2595791
고라니,36.77163984,126.2580092
고라니,37.80279018,126.9109035
너구리,36.85434982,126.2674291
너구리,37.80341656,126.910291
고라니,36.86494982,126.2842691
고라니,37.80041934,126.9241019
고라니,36.86752982,126.2697791
멧토끼,37.80147573,126.927826
고라니,37.80348823,126.9102019
고라니,36.76804984,126.2922692
고라니,36.76685985,126.3020591
고라니,37.80034684,126.9232913
고라니,37.80119962,126.927966
고라니,37.80385101,126.9107157
고라니,37.79992018,126.9279238
고라니,36.79216984,126.2910091
고라니,37.96780069,126.8919599
고라니,37.96702652,126.8895127
고라니,37.96699208,126.8884024
너구리,36.79139984,126.2895691
