지역,발생건수,위도,경도,도로등급구분코드
강원 태백시,1,37.17270750088152,128.99004433617955,103
경기 수원시 권선구,1,37.28998819674073,126.93959982035732,103
경기 구리시,1,37.59834336965815,127.15115378590278,103
경기 이천시,1,37.05769354352213,127.51899469899344,103
충북 청주시 흥덕구,1,36.584886176984654,127.33430353188614,103
인천 계양구,1,37.54559248035347,126.74558375765784,103
충남 아산시,1,36.87398318316076,126.94394429956918,103
당진,1,36.8826722476409,126.69899554610583,103
세종특별자치시 세종시,1,36.51180984451018,127.23373187048242,103
광주 동구,1,35.15724442180013,126.93929559328838,103
서울 성북구,1,37.59464645807208,126.99053067067084,103
울산 남구,1,35.513467421993134,129.31859000700922,103
강원 평창군,1,37.672446983198085,128.7020844345853,103
인천 계양구,1,37.55195272161456,126.740334091177,103
경기 안산시 단원구,1,37.307567474278976,126.83241530964465,103
대구 북구,1,35.90632384613632,128.59428579443255,103
전북 정읍시,1,35.56263943666247,126.86915302605364,103
울산 북구,1,35.59193126775523,129.36547226980554,103
울산 북구,1,35.59184795170994,129.36586112471946,103
울산 북구,1,35.59170908720687,129.3662777564066,103
당진,1,36.9193047419993,126.58747758146444,103
울산 북구,1,35.583293522084844,129.37186080895796,103
울산 북구,1,35.58359904259229,129.37191635056172,103
울산 북구,1,35.6270381333796,129.36052728053508,103
보은,1,36.55606399959339,127.75834699103294,103
경기 구리시,1,37.60423148803487,127.14826500907569,103
충남 아산시,1,36.88073471889081,127.07595913042358,103
천안,1,36.78910830430448,127.15400968772624,103
전북 진안군,1,35.71629515131897,127.29396973317408,103
서울 강북구,1,37.63325350384282,127.02608165072816,103
경기 평택시,1,37.01235544248901,126.95124532643528,103
경기 남양주시,1,37.72027384120243,127.20039545602536,103
충남 아산시,1,36.82865651169883,127.01018914512645,103
서울 영등포구,1,37.52781951424674,126.8930143113773,103
경남 사천시,1,35.05324870023094,128.06980289501226,103
화성,1,37.23693665956207,126.8035034269354,103
경기 용인시 처인구,1,37.14314958952684,127.19905099636752,103
경기 용인시 처인구,1,37.14267741603226,127.19857883320878,103
서울 강동구,1,37.53201763852184,127.1247415991508,103
서울 도봉구,1,37.68810820703977,127.04185631185968,103
경기 수원시 권선구,1,37.27085234538433,126.97923539421085,103
서울 구로구,1,37.5111548107493,126.8892095994228,103
전북 정읍시,1,35.677791826666564,126.8381252364388,103
전북 정읍시,1,35.66082171131856,126.84279189637827,103
전북 정읍시,1,35.647489889712624,126.83812601803784,103
경기 고양시 일산동구,1,37.67666100993153,126.81232352048532,103
당진,1,36.80665381124973,126.70677463685212,103
경북 포항시 북구,1,36.03062930676297,129.36709828992443,103
경기 안산시 상록구,1,37.35917289583496,126.86541065102948,103
인천 미추홀구,1,37.44377025929158,126.67237154299762,103
경기 오산시,1,37.13892550591478,127.06739720763704,103
서울 서초구,1,37.469662567249024,127.03897395756265,103
울산 울주군,1,35.48927197591938,129.11513749694478,103
화성,1,37.255074153729744,126.8489707218612,103
경기 평택시,1,37.06321242147093,127.06489956885233,103
충남 아산시,1,36.889927682763386,127.05534975630724,103
충남 아산시,1,36.89301047637418,127.04601723963786,103
경남 양산시,1,35.36820153602957,129.04045344072554,103
경남 양산시,1,35.368868133394685,129.0409533753365,103
경남 양산시,1,35.37278438834837,129.0436474583162,103
경남 양산시,1,35.37364540511879,129.04403628675212,103
화성,1,37.21491081127719,126.76142479802904,103
서울 성동구,1,37.56545634327032,127.03305513435772,103
세종특별자치시 세종시,1,36.485786006536806,127.27889491334312,103
강원 속초시,1,38.1922427972642,128.59857821693325,103
울산 울주군,1,35.49110892456419,129.31717410965382,103
울산 남구,1,35.497858121166296,129.3168406152744,103
울산 남구,1,35.49785813598006,129.31761832038305,103
울산 남구,1,35.4978581470907,129.3182015992148,103
울산 남구,1,35.497830473129746,129.32347888468493,103
울산 남구,1,35.4981082779101,129.32661747240567,103
울산 남구,1,35.500857964294575,129.32720067288997,103
시흥,1,37.35894822103548,126.72642419631065,103
충북 괴산군,1,36.83778247660632,127.8888264832472,103
경남 사천시,1,34.98706181645521,128.05586150439717,103
전남 나주시,1,35.07108501507077,126.76464761828616,103
경기 과천시,1,37.40953018271399,126.99373007082043,103
전북 정읍시,1,35.6478231822976,126.83807045918378,103
천안,1,36.8715155742152,127.18547658693548,103
서울 강서구,1,37.56270260107738,126.80685506723982,103
충남 아산시,1,36.9175066575126,126.99816007803636,103
경기 파주시,1,37.86000012903032,126.83584374920846,103
전남 광양시,1,34.968667238319,127.61095929206088,103
경기 평택시,1,37.01166380500688,127.10345283136776,103
경기 평택시,1,37.036769236259055,126.95610528944157,103
경기 남양주시,1,37.60828709041576,127.1779286667794,103
제주특별자치도 서귀포시,1,33.259347757770534,126.42713885293784,103
서울 영등포구,1,37.52565349060919,126.91406787439878,103
화성,1,37.17386330534286,126.93329812917632,103
화성,1,37.17419659274065,126.93299259397828,103
화성,1,37.17441878351146,126.9327426120444,103
화성,1,37.174752067929646,126.93227042635976,103
당진,1,36.94361081964654,126.78476335009324,103
충남 아산시,1,36.79846654976024,127.0569076878306,103
화성,1,37.17030803802171,126.9252712299368,103
화성,1,37.17097448627625,126.91757751387448,103
화성,1,37.172613129029855,126.9149388354737,103
당진,1,36.993739899322016,126.57267143990268,103
화성,1,37.17316851294994,126.90910605300184,103
화성,1,37.173001847177375,126.90802282949824,103
화성,1,37.17291851453948,126.90749510528686,103
화성,1,37.17266851464359,126.90580083233014,103
화성,1,37.16969653234956,126.89902379546884,103
화성,1,37.17455690445857,126.89069113585076,103
화성,1,37.17627890712774,126.89010781117834,103
화성,1,37.17888968478396,126.88919116077294,103
화성,1,37.18305579288359,126.8862468861698,103
화성,1,37.18372236966168,126.88574691615132,103
화성,1,37.18736078288878,126.88385810930558,103
화성,1,37.19274899245379,126.88246920511529,103
화성,1,37.193443349573066,126.88230253527922,103
경기 양주시,1,37.85325507816909,127.06279393350462,103
서울 도봉구,1,37.68724724697948,127.0443838675289,103
당진,1,36.82545619626463,126.65575128797632,103
충남 아산시,1,36.90770339131329,127.05993215434016,103
대전,1,36.43471067566172,127.38263636280722,103
부산 동구,1,35.11587022364395,129.04351572795804,103
제주특별자치도 서귀포시,1,33.235823815937124,126.49663293258168,103
강원 춘천시,1,37.85882164344215,127.69373213930784,103
인천 서구,1,37.538980820450895,126.66961914377032,103
대전,1,36.368856514202434,127.32861556654676,103
경기 연천군,1,37.97671125859364,127.01165646216243,103
천안,1,36.79921818385431,127.15345390596931,103
화성,1,37.12525677929703,126.85950109092524,103
강원 양양군,1,38.03845792258977,128.69637912116403,103
경기 연천군,1,38.017955975427405,126.99901760976068,103
서울 성북구,1,37.59750798757678,127.0328875666916,103
경기 양주시,1,37.83678510257064,127.07554316411426,103
울산 북구,1,35.58232139988283,129.37108313176057,103
강원 속초시,1,38.20099142199274,128.58296834830546,103
세종특별자치시 세종시,1,36.462565898044325,127.24076032080798,103
충남 태안군,1,36.791037454124094,126.29600929768714,103
인천 서구,1,37.51203979358415,126.67695251689466,103
경기 여주시,1,37.37407179619368,127.51606922682409,103
부산 사상구,1,35.167307493480145,128.98354767550123,103
충남 보령시,1,36.401422589770064,126.5694376372588,103
화성,1,37.10320374304063,126.85064145144948,103
서울 금천구,1,37.4825191495797,126.87460072371584,103
경기 오산시,1,37.13692586587744,127.07392440868009,103
천안,1,36.67745341333957,127.05821644260128,103
천안,1,36.68350857487438,127.07715889545574,103
충남 아산시,1,36.74144551712095,127.04874337808168,103
인천 부평구,1,37.4870433612953,126.70608926165606,103
경기 평택시,1,37.000831653289886,127.0961760599515,103
경북 포항시 북구,1,36.12997653480902,129.2599665730309,103
경남 하동군,1,35.23386294143656,127.88506547109856,103
경남 산청군,1,35.254249719938166,127.90206333130104,103
경기 수원시 영통구,1,37.25535533026716,127.04050765548668,103
경기 포천시,1,37.81670567895474,127.155091522503,103
화성,1,37.20958305894474,127.03753700961369,103
제주특별자치도 서귀포시,1,33.39108844137548,126.80087895275534,103
경기 포천시,1,37.924054280254325,127.18855733405508,103
창원,1,35.21412970336747,128.6812135213573,103
경기 평택시,1,36.990774277528686,126.92613724494976,103
서울 송파구,1,37.507020274922965,127.10224450655998,103
당진,1,36.98140845528754,126.5951140414808,103
당진,1,37.00340508726535,126.55520065106975,103
남원,1,35.466746909511684,127.59908628807275,103
충북 청주시 흥덕구,1,36.658322652547234,127.38326901393236,103
경기 여주시,1,37.400456124562105,127.44249226753249,103
전남 해남군,1,34.65093754298842,126.5997846427011,103
부산 사상구,1,35.14528232829889,128.98454819065864,103
화성,1,37.126617670319,126.8564180190986,103
경기 여주시,1,37.3945398358108,127.4239386833783,103
경기 남양주시,1,37.61723070580501,127.1922325697138,103
충북 음성군,1,37.00520033232917,127.54288277747764,103
원주,1,37.25154262793711,128.1337630960271,103
서울 영등포구,1,37.51915394102159,126.89506991212023,103
경기 안양시 동안구,1,37.40019754856066,126.96948269550012,103
경남 김해시,1,35.30312192607042,128.82850284998275,103
천안,1,36.81852076976296,127.11787347167976,103
경기 용인시 처인구,1,37.23586037948241,127.18899379422946,103
광주 북구,1,35.20626520790042,126.87049531284632,103
당진,1,36.97368998365312,126.7551265087992,103
당진,1,37.00101626474624,126.54242417901192,103
경기 안산시 단원구,1,37.229211256012505,126.57072073958616,103
경기 용인시 처인구,1,37.308574357402726,127.22134970013668,103
경기 용인시 처인구,1,37.15959162628144,127.17619163623928,103
화성,1,37.19733385898375,126.99926329085318,103
대구 서구,1,35.86516130683252,128.55298529692382,103
울산 남구,1,35.49777492678035,129.32361776218033,103
대전,1,36.41801816461159,127.3785261040244,103
울산 울주군,1,35.57248619948056,129.21218161130844,103
경기 이천시,1,37.15535038058027,127.62753697432689,103
화성,1,37.163921420489686,127.00881885529346,103
화성,1,37.16369926409926,127.0109853179842,103
부산 사상구,1,35.145671172950976,128.98463150548451,103
경기 안산시 단원구,1,37.33725794810841,126.81236087548716,103
경남 사천시,1,35.0300829339106,127.96697981717568,103
경남 사천시,1,35.03055509989845,127.9669520295882,103
경남 사천시,1,35.03138833140664,127.96675758147452,103
경남 사천시,1,35.03802646775232,127.9685072427074,103
경남 사천시,1,35.03905413260548,127.96897939359118,103
경기 고양시 일산서구,1,37.68387997196957,126.67969740587208,103
경기 고양시 일산동구,1,37.64266476869605,126.79043773849315,103
울산 남구,1,35.499858073381475,129.3267285232787,103
울산 남구,1,35.49913593538356,129.32667299349015,103
울산 남구,1,35.49816382796408,129.32667302118824,103
울산 남구,1,35.49469201574078,129.32667312009912,103
울산 남구,1,35.49441427023296,129.32664535282848,103
울산 남구,1,35.49380315084614,129.3224235424609,103
울산 남구,1,35.4939697486271,129.31984044572803,103
충북 청주시 청원구,1,36.71248339618572,127.41693093588188,103
경남 함안군,1,35.34613802331913,128.47097961264657,103
경기 연천군,1,37.97137851031937,127.0079347604316,103
경기 평택시,1,37.123927537687294,127.07920203937756,103
